accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,log_loss,brier_score,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,confusion_matrix,model,seed,task_mode,missing_indicators,n_features,n_train_subjects,n_val_subjects,n_test_subjects,n_train_visits,n_val_visits,n_test_visits,train_macro_f1,val_macro_f1
0.9104046242774566,0.8869073255506441,0.8992905286817492,0.8529839085501247,0.9744132643027686,0.3841903301473465,0.1998552023121387,0.98,0.9333333333333332,0.9560975609756096,0.8817204301075269,0.9479768786127168,0.913649025069638,0.8833333333333333,0.7794117647058824,0.828125,"[[98, 7, 0], [2, 164, 7], [0, 15, 53]]",random_forest,43,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.908300319434641
0.9364161849710982,0.9203720794676252,0.9305583293474644,0.8960620459883117,0.9793923567871952,0.3681515235823491,0.1176039262405524,0.9801980198019802,0.9428571428571428,0.9611650485436892,0.912568306010929,0.9653179190751444,0.9382022471910112,0.935483870967742,0.8529411764705882,0.8923076923076924,"[[99, 6, 0], [2, 167, 4], [0, 10, 58]]",hist_gradient_boosting,43,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.9507101086048456
0.907514450867052,0.910798076456016,0.9033689795556568,0.8521604443732308,0.9808930888776188,0.2416598128682326,0.143318001804292,0.9026548672566372,0.9714285714285714,0.9357798165137616,0.9325153374233128,0.8786127167630058,0.9047619047619048,0.8571428571428571,0.8823529411764706,0.8695652173913043,"[[102, 3, 0], [11, 152, 10], [0, 8, 60]]",logistic_regression,44,baseline_only,False,69,1211,173,346,1211,173,346,0.9362156621832844,0.8959583109913248
0.9132947976878611,0.9024621794768004,0.9067911499822068,0.8591453733733191,0.9773493768435988,0.3380281848980404,0.1709846820809248,0.97,0.923809523809524,0.946341463414634,0.8994413407821229,0.930635838150289,0.9147727272727272,0.8656716417910447,0.8529411764705882,0.8592592592592593,"[[97, 8, 0], [3, 161, 9], [0, 10, 58]]",random_forest,44,baseline_only,False,69,1211,173,346,1211,173,346,0.9990288511654074,0.9228564989214076
0.9335260115606936,0.9196931180950222,0.9266052154338889,0.8917485104877982,0.9819255106853496,0.3051085039085562,0.1164889450937576,0.9803921568627452,0.9523809523809524,0.966183574879227,0.9166666666666666,0.953757225433526,0.9348441926345608,0.90625,0.8529411764705882,0.8787878787878788,"[[100, 5, 0], [2, 165, 6], [0, 10, 58]]",hist_gradient_boosting,44,baseline_only,False,69,1211,173,346,1211,173,346,1.0,0.9437380926527348
0.8959537572254336,0.9001157688508931,0.8908810938288988,0.834063811363485,0.9764887027399192,0.2696860917239365,0.1559003744583635,0.8947368421052632,0.9714285714285714,0.9315068493150684,0.9254658385093169,0.861271676300578,0.8922155688622755,0.8309859154929577,0.8676470588235294,0.8489208633093526,"[[102, 3, 0], [12, 149, 12], [0, 9, 59]]",logistic_regression,44,baseline_only,True,69,1211,173,346,1211,173,346,0.9362156621832844,0.8908356682148968
0.9248554913294798,0.9096897718625022,0.9171183614988124,0.877515453530485,0.9787529846031174,0.3920308475305917,0.2046160404624277,0.9801980198019802,0.9428571428571428,0.9611650485436892,0.9060773480662984,0.9479768786127168,0.9265536723163842,0.890625,0.8382352941176471,0.8636363636363636,"[[99, 6, 0], [2, 164, 7], [0, 11, 57]]",random_forest,44,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.9124891335844684
0.930635838150289,0.9177663358214192,0.924048174048174,0.8871463129569732,0.9813017335772384,0.3125722393885888,0.1171405006095895,0.970873786407767,0.9523809523809524,0.9615384615384616,0.9162011173184358,0.9479768786127168,0.9318181818181818,0.90625,0.8529411764705882,0.8787878787878788,"[[100, 5, 0], [3, 164, 6], [0, 10, 58]]",hist_gradient_boosting,44,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.9310513908533712
0.884393063583815,0.8924086397564807,0.8790155071845213,0.8165624005937864,0.9745307566102172,0.2914536846221118,0.1729713078384525,0.8869565217391304,0.9714285714285714,0.9272727272727272,0.9235668789808916,0.838150289017341,0.8787878787878788,0.7972972972972973,0.8676470588235294,0.8309859154929577,"[[102, 3, 0], [13, 145, 15], [0, 9, 59]]",logistic_regression,45,baseline_only,False,69,1211,173,346,1211,173,346,0.9432158919829228,0.8798710620416047
0.930635838150289,0.9199732301398402,0.9249841235369796,0.8871647145147702,0.979644203936302,0.3286637503576416,0.16831112716763,1.0,0.923809523809524,0.9603960396039604,0.9116022099447514,0.953757225433526,0.9322033898305084,0.8823529411764706,0.8823529411764706,0.8823529411764706,"[[97, 8, 0], [0, 165, 8], [0, 8, 60]]",random_forest,45,baseline_only,False,69,1211,173,346,1211,173,346,1.0,0.9089423076923078
0.9248554913294798,0.905946309159502,0.9177435553361268,0.8767688113861454,0.9823942498872796,0.3457152725047165,0.1276163707310647,1.0,0.9142857142857144,0.9552238805970148,0.893048128342246,0.9653179190751444,0.9277777777777778,0.9047619047619048,0.8382352941176471,0.8702290076335878,"[[96, 9, 0], [0, 167, 6], [0, 11, 57]]",hist_gradient_boosting,45,baseline_only,False,69,1211,173,346,1211,173,346,1.0,0.9089423076923078
0.8728323699421965,0.8809580479590681,0.8683623670020871,0.7979535229399196,0.9718701844130034,0.3101982254304946,0.1812381618704931,0.8839285714285714,0.9428571428571428,0.912442396313364,0.9056603773584906,0.8323699421965318,0.8674698795180723,0.7866666666666666,0.8676470588235294,0.8251748251748252,"[[99, 6, 0], [13, 144, 16], [0, 9, 59]]",logistic_regression,45,baseline_only,True,69,1211,173,346,1211,173,346,0.943773435287454,0.8683700601534815
0.9248554913294798,0.9186153073946342,0.9186725407522776,0.8785571575139046,0.9751406465217914,0.3901409133817914,0.2036598265895953,0.9801980198019802,0.9428571428571428,0.9611650485436892,0.92,0.930635838150289,0.9252873563218392,0.8571428571428571,0.8823529411764706,0.8695652173913043,"[[99, 6, 0], [2, 161, 10], [0, 8, 60]]",random_forest,45,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.9089423076923078
0.9248554913294798,0.9029711306487912,0.9172059101468972,0.8764132928521383,0.9830378552232992,0.3530781567053756,0.1303405718465137,1.0,0.9142857142857144,0.9552238805970148,0.8888888888888888,0.9710982658959536,0.9281767955801103,0.918032786885246,0.8235294117647058,0.8682170542635659,"[[96, 9, 0], [0, 168, 5], [0, 12, 56]]",hist_gradient_boosting,45,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.9140746084276936
