model,seed,task_mode,missing_indicators,class_id,bin,n,mean_predicted,observed_rate
random_forest,43,baseline_only,True,0,3,25,0.3591999999999999,0.12
random_forest,43,baseline_only,True,0,4,7,0.42,0.1428571428571428
random_forest,43,baseline_only,True,0,5,4,0.5562499999999999,0.5
random_forest,43,baseline_only,True,0,6,11,0.6695454545454544,1.0
random_forest,43,baseline_only,True,0,7,27,0.748148148148148,1.0
random_forest,43,baseline_only,True,0,8,48,0.8508333333333332,1.0
random_forest,43,baseline_only,True,0,9,10,0.926,1.0
random_forest,43,baseline_only,True,1,0,17,0.0770588235294117,0.0
random_forest,43,baseline_only,True,1,1,71,0.1437323943661972,0.0
random_forest,43,baseline_only,True,1,2,37,0.2414864864864864,0.054054054054054
random_forest,43,baseline_only,True,1,3,23,0.3230434782608695,0.1304347826086956
random_forest,43,baseline_only,True,1,4,12,0.4454166666666667,0.3333333333333333
random_forest,43,baseline_only,True,1,5,30,0.5506666666666666,0.6666666666666666
random_forest,43,baseline_only,True,1,6,63,0.6519047619047619,0.873015873015873
random_forest,43,baseline_only,True,1,7,72,0.7418055555555555,0.9722222222222222
random_forest,43,baseline_only,True,1,8,21,0.8254761904761904,0.9047619047619048
random_forest,43,baseline_only,True,2,0,200,0.027875,0.005
random_forest,43,baseline_only,True,2,1,36,0.1452777777777777,0.0277777777777777
random_forest,43,baseline_only,True,2,2,27,0.2525925925925926,0.1481481481481481
random_forest,43,baseline_only,True,2,3,12,0.3595833333333333,0.3333333333333333
random_forest,43,baseline_only,True,2,4,12,0.4362499999999999,0.5
random_forest,43,baseline_only,True,2,5,10,0.5429999999999999,0.7
random_forest,43,baseline_only,True,2,6,12,0.6591666666666667,0.8333333333333334
random_forest,43,baseline_only,True,2,7,9,0.7377777777777778,0.7777777777777778
random_forest,43,baseline_only,True,2,8,21,0.8526190476190477,1.0
random_forest,43,baseline_only,True,2,9,7,0.9128571428571428,1.0
hist_gradient_boosting,43,baseline_only,True,0,0,243,0.0009190932716117,0.0205761316872428
hist_gradient_boosting,43,baseline_only,True,0,1,1,0.1215990898706381,0.0
hist_gradient_boosting,43,baseline_only,True,0,3,1,0.3160356916274164,1.0
hist_gradient_boosting,43,baseline_only,True,0,5,1,0.5246117586725382,1.0
hist_gradient_boosting,43,baseline_only,True,0,6,1,0.6948727774186234,0.0
hist_gradient_boosting,43,baseline_only,True,0,9,99,0.99906231166298,0.98989898989899
