accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,log_loss,brier_score,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,confusion_matrix,model,seed,task_mode,missing_indicators,n_features,n_train_subjects,n_val_subjects,n_test_subjects,n_train_visits,n_val_visits,n_test_visits,train_macro_f1,val_macro_f1,group,modalities
0.884393063583815,0.8834831042243486,0.8778863112196446,0.8149262513205227,0.9698941897873956,0.30403915155833827,0.1721077787488304,0.8793103448275862,0.9714285714285714,0.9230769230769231,0.9079754601226994,0.8554913294797688,0.8809523809523809,0.835820895522388,0.8235294117647058,0.8296296296296296,"[[102, 3, 0], [14, 148, 11], [0, 12, 56]]",logistic_regression,43,baseline_only,True,67,1211,173,346,1211,173,346,0.9366515535519803,0.9134795006977331,clinical_mri_genetic,demographic|cognitive|mri_structural|genetic
0.884393063583815,0.8864582827350594,0.878477744118725,0.8154445200090678,0.9687937182977585,0.311061554986823,0.1758508486391973,0.8793103448275862,0.9714285714285714,0.9230769230769231,0.9130434782608695,0.8497109826589595,0.8802395209580839,0.8260869565217391,0.8382352941176471,0.8321167883211679,"[[102, 3, 0], [14, 147, 12], [0, 11, 57]]",logistic_regression,43,baseline_only,True,69,1211,173,346,1211,173,346,0.9385902337567638,0.9184458968772694,all_primary_modalities,demographic|cognitive|mri_structural|pet|genetic
0.5433526011560693,0.5983414560429181,0.5520066651594697,0.31385395486607925,0.7391361221811511,0.9292801336104901,0.5886723432707048,0.5109489051094891,0.6666666666666666,0.5785123966942148,0.6238532110091743,0.3930635838150289,0.48226950354609927,0.5,0.7352941176470589,0.5952380952380952,"[[70, 29, 6], [61, 68, 44], [6, 12, 50]]",logistic_regression,43,baseline_only,True,59,1211,173,346,1211,173,346,0.5750440136256726,0.549534302589732,all_without_cognitive,demographic|mri_structural|pet|genetic
0.9017341040462428,0.9069445119088098,0.8990643082168063,0.8431278420077076,0.9794798332378635,0.2539735386854783,0.15113419228495464,0.8793103448275862,0.9714285714285714,0.9230769230769231,0.9316770186335404,0.8670520231213873,0.8982035928143712,0.8695652173913043,0.8823529411764706,0.8759124087591241,"[[102, 3, 0], [14, 150, 9], [0, 8, 60]]",logistic_regression,43,baseline_only,True,19,1211,173,346,1211,173,346,0.9221558410085494,0.8947958079555661,all_without_mri_structural,demographic|cognitive|pet|genetic
0.884393063583815,0.8834831042243486,0.8778863112196446,0.8149262513205227,0.9698941897873956,0.30403915155833827,0.1721077787488304,0.8793103448275862,0.9714285714285714,0.9230769230769231,0.9079754601226994,0.8554913294797688,0.8809523809523809,0.835820895522388,0.8235294117647058,0.8296296296296296,"[[102, 3, 0], [14, 148, 11], [0, 12, 56]]",logistic_regression,43,baseline_only,True,67,1211,173,346,1211,173,346,0.9366515535519803,0.9134795006977331,all_without_pet,demographic|cognitive|mri_structural|genetic
0.884393063583815,0.8847309251253487,0.8766281553219485,0.8154445200090678,0.9699731886748905,0.30444405201430175,0.17202737763296405,0.8879310344827587,0.9809523809523809,0.9321266968325792,0.9130434782608695,0.8497109826589595,0.8802395209580839,0.8115942028985508,0.8235294117647058,0.8175182481751825,"[[103, 2, 0], [13, 147, 13], [0, 12, 56]]",logistic_regression,43,baseline_only,True,68,1211,173,346,1211,173,346,0.9376918392857646,0.9274813413801493,all_without_genetic,demographic|cognitive|mri_structural|pet
0.315028901734104,0.33383202992179534,0.31067886753143936,-0.01049907578558229,0.5519960744686997,1.1106000333404205,0.6808393546783974,0.31343283582089554,0.4,0.3514644351464435,0.4479166666666667,0.24855491329479767,0.31970260223048325,0.20689655172413793,0.35294117647058826,0.2608695652173913,"[[42, 37, 26], [64, 43, 66], [28, 16, 24]]",logistic_regression,44,baseline_only,True,6,1211,173,346,1211,173,346,0.4263305681690463,0.391461437113611,demographic_only,demographic
0.9104046242774566,0.9233777518714614,0.9087029586006293,0.8578471651602301,0.9846381599966781,0.22864677961348856,0.13306939296001719,0.9017857142857143,0.9619047619047619,0.9308755760368663,0.9493670886075949,0.8670520231213873,0.9063444108761329,0.8421052631578947,0.9411764705882353,0.8888888888888888,"[[101, 4, 0], [11, 150, 12], [0, 4, 64]]",logistic_regression,44,baseline_only,True,10,1211,173,346,1211,173,346,0.9071767219060933,0.8987834009503398,cognitive_only,cognitive
0.43352601156069365,0.4736794525131825,0.4375761547509544,0.15007958291035328,0.6301788462677219,1.0621584290597803,0.6549028339707337,0.4198473282442748,0.5238095238095238,0.4661016949152542,0.509090909090909,0.3236994219653179,0.3957597173144876,0.37142857142857144,0.5735294117647058,0.4508670520231214,"[[55, 37, 13], [64, 56, 53], [12, 17, 39]]",logistic_regression,44,baseline_only,True,50,1211,173,346,1211,173,346,0.49718103736683306,0.49367788766539017,mri_structural_only,mri_structural
0.4046242774566474,0.4937592763502318,0.4067623427750345,0.15738452990341523,0.6789113224433144,0.9677177075308017,0.6116046552794299,0.4107142857142857,0.4380952380952381,0.423963133640553,0.5352112676056338,0.21965317919075145,0.3114754098360656,0.34355828220858897,0.8235294117647058,0.48484848484848486,"[[46, 24, 35], [63, 38, 72], [3, 9, 56]]",logistic_regression,44,baseline_only,True,2,1211,173,346,1211,173,346,0.44698122021547504,0.4380511463844798,pet_only,pet
